Sectores de Actividade,N.. Part (1) SCR,Valor SCR,% SCR,N.. Part (1) FCR,Valor FCR,% FCR,N.. Part (1) Total,Valor Total,Total Total
"Agricultura, producao animal, caca, floresta e pesca",0,0,0,0,0,0,0,0,0
Industrias extrativas,0,0,0,12,56,0.02171721089,12,56,0.01815235008
Industrias transformadoras,35,30.5,0.06022906793,256,337.8,0.1310013185,291,368.3,0.1193841167
"Eletricidade, gas, vapor, agua quente e fria e ar frio",4,1.6,0.003159557662,14,136.5,0.05293570154,18,138.1,0.0447649919
"Captacao, tratamento e distribuicao de agua, sanemento, gestao de residuos e despoluicao",2,126.2,0.2492101106,3,5.8,0.002249282556,5,132,0.04278768233
Construcao,1,10,0.01974723539,12,30.7,0.01190568526,13,40.7,0.01319286872
"Comercio por grosso e a retalho, reparacao de veiculos automoveis e motociclos",4,0.9,0.001777251185,81,68.2,0.0264484604,85,69.1,0.0223987034
Transportes e armazenagem,1,176.6,0.3487361769,20,27.7,0.01074226324,21,204.3,0.06622366288
"Alojamento, restauracao e similares",12,20.2,0.03988941548,52,147.7,0.05727914372,64,167.9,0.05442463533
Actividades de Informacao e de Comunicacao,18,2.3,0.004541864139,141,80.2,0.03110214845,159,82.5,0.02674230146
Actividades financeiras e de seguros,45,99.1,0.1956951027,26,74,0.02869774296,71,173.1,0.0561102107
SGPS - nao financeiras,19,26.9,0.05312006319,248,1351.1,0.5239664934,267,1378,0.4466774716
Atividades Imobiliarias,9,7.7,0.01520537125,21,70.1,0.02718529435,30,77.8,0.02521880065
"Actividades de consultadoria, cientificas, tecnicas e similares",22,3.3,0.006516587678,183,152.2,0.05902427674,205,155.5,0.05040518639
Actividades administrativas e dos servicos de apoio,4,0,0,42,29.7,0.01151787792,46,29.7,0.009627228525
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0,0,0,0,0,0,0
Educacao,3,0.3,0.0005924170616,1,0,0,4,0.3,0.00009724473258
Actividades de saude humana e apoio social,3,0.8,0.001579778831,9,10.1,0.003916854107,12,10.9,0.003533225284
"Atividade artisticas, de espetaculos, desportivas e recreativas",0,0,0,10,0.4,0.0001551229349,10,0.4,0.0001296596434
Outras actividades de servicos,0,0,0,1,0.4,0.0001551229349,1,0.4,0.0001296596434
Atividade das familias empregadoras de pessoal domestico e actividades de producao das familias para uso proprio,0,0,0,0,0,0,0,0,0
Atividade dos organismos internacinais e outras Instituicoes extra territoriais,0,0,0,0,0,0,0,0,0
Total,182,506.4,1,1132,2578.6,1,1314,3085,1
