Fase de Investimento,N.. Transaccoes SCR, ( +/-Valia (€) SCR,% SCR,N.. Transaccoes FCR, ( +/-Valia (€) FCR,% FCR,N.. Transaccoes Total, ( +/-Valia (€) Total,% Total
Seed Capital,0,0,0,14,1157106.1,0.08853769403,14,1157106.1,0.1261529879
Start-up,0,0,0,30,4349405,0.3328011918,30,4349405,0.4741919833
Early Stage,0,0,0,2,450000,0.03443241922,2,450000,0.04906105374
Expansao,1,0.3,-0.00000007698557539,11,1640297,0.1255097643,12,1640297.3,0.1788326978
Capital de substituicao ,5,-3896834.2,1.000000077,3,1551370.4,0.1187054133,8,-2345463.8,-0.2557131679
Turnaorund,0,0,0,3,-251352.8,-0.01923263329,3,-251352.8,-0.0274036294
Ref. Da divida bancaria,0,0,0,1,2056147.8,0.1573292067,1,2056147.8,0.2241706172
Management buy out,0,0,0,1,800000,0.06121318972,1,800000,0.0872196511
Management buy in,0,0,0,0,0,0,0,0,0
Outros,1,0,0,2,1316105.3,0.1007037543,3,1316105.3,0.1434878063
Total,7,-3896833.9,1,67,13069078.8,1,74,9172244.9,1
