Fase de Investimento,N.. Transaccoes SCR, ( +/-Valia (€) SCR,% SCR,N.. Transaccoes FCR, ( +/-Valia (€) FCR,% FCR,N.. Transaccoes Total, ( +/-Valia (€) Total,% Total
Seed Capital,0,0,0,14,-359244.8,-0.04055007489,14,-359244.8,-0.1503423796
Start-up,0,0,0,30,-1190203.9,-0.1343453191,30,-1190203.9,-0.4980951334
Early Stage,0,0,0,2,76013.4,0.008580079831,2,76013.4,0.03181127588
Expansao,1,222773,-0.03443287149,11,8149931.4,0.9199307231,12,8372704.4,3.50394022
Capital de substituicao ,5,-6692550,1.034432871,3,-1293453.3,-0.1459996865,8,-7986003.3,-3.342107499
Turnaorund,0,0,0,3,-362228.1,-0.04088681752,3,-362228.1,-0.1515908777
Ref. Da divida bancaria,0,0,0,1,0,0,1,0,0
Management buy out,0,0,0,1,0,0,1,0,0
Management buy in,0,0,0,0,0,0,0,0,0
Outros,1,0,0,2,3838473.5,0.4332710951,3,3838473.5,1.606384394
Total,7,-6469777,1,67,8859288.2,1,74,2389511.2,1
