Metodologia de Valorizacao,SCR,FCR,Total
Valor de aquisicao,0,0,0
Preco de Mercado,54,-36491.6,-36437.6
Transacoes relevantes,0,1760.5,1760.5
Multiplos,15008.1,-88426,-73417.9
Fluxos de caixa descontados (DCF),-154677.1,-391859.9,-546537
NAV,-13841.3,-28333.1,-42174.4
Valor de aquisicao (fator de desconto),0,0,0
preco de Mercado (fator de desconto),3656.1,-56.8,3599.3
transacoes relevantes (fator de desconto),0,0,0
Multiplos (fator de desconto),4197,6238.3,10435.3
fluxos de caixa descontados (DCF) (fator de desconto),0,-55774.2,-55774.2
NAV (fator de desconto),0,0,0
Total,-145603.2,-592942.8,-738546
